codigo_registro,data_pregao,codigo_mercado,ativo,codigo_bdi,nome,especificador,identificacao_mercado,moeda_cotacao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,preco_melhor_compra,preco_melhor_venda,numero_negocios,quantidade_acoes,volume_financeiro,preco_fechamento_ajustado,fator_ajuste,codigo_papel_registro
01,2022-02-03,02,VALE3,010,VALE,ON,NM,R$,86.3,86.78,85.32,86.01,85.75,85.74,0,85755787300000,191794000.0,16496500.39,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-03,02,VALE3,010,VALE,ON,NM,R$,79.0,79.97,78.0,78.76,78.0,78.0,0,78047400000000,185572000.0,14617464.93,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-03,02,PETR4,010,PETROBRAS,PN,N2,R$,32.35,32.92,31.62,32.03,32.07,32.07,0,32089236000000,510878000.0,16363981.67,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-03,02,BRFS3,010,BRF SA,ON,NM,R$,20.01,20.3,19.82,19.97,19.85,19.85,0,19864616200000,191324000.0,3821164.14,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-03,02,PETR4,010,PETROBRAS,PN,N2,R$,28.54,29.22,28.53,28.99,29.09,29.08,0,29098247900000,527047000.0,15284293.87,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-03,02,BRFS3,010,BRF SA,ON,NM,R$,22.52,23.32,22.25,22.82,23.22,23.22,0,23243254300000,122800000.0,2802453.85,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-21,02,VALE3,010,VALE,ON,NM,R$,86.6,87.99,85.5,87.05,85.9,85.9,0,85914471700000,145610000.0,12676305.02,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-19,02,VALE3,010,VALE,ON,NM,R$,88.48,89.0,87.88,88.3,88.21,88.2,0,88219191400000,293325000.0,25902729.18,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-21,02,PETR4,010,PETROBRAS,PN,N2,R$,33.05,34.0,33.0,33.66,33.85,33.85,0,33899724500000,512638000.0,17257464.54,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-21,02,BRFS3,010,BRF SA,ON,NM,R$,18.8,18.83,18.28,18.52,18.34,18.34,0,18351135400000,75974000.0,1407467.96,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-19,02,PETR4,010,PETROBRAS,PN,N2,R$,31.9,32.21,31.44,31.84,31.49,31.48,0,31493168900000,774802000.0,24673962.14,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-19,02,BRFS3,010,BRF SA,ON,NM,R$,23.55,23.95,23.12,23.58,23.71,23.71,0,23752301000000,70648000.0,1666435.75,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-04,02,VALE3,010,VALE,ON,NM,R$,85.75,88.17,85.55,87.19,87.98,87.98,0,87996118800000,245354000.0,21393381.83,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-04,02,VALE3,010,VALE,ON,NM,R$,78.51,79.07,76.9,77.65,77.08,77.08,0,77116499800000,181787000.0,14116130.46,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-04,02,PETR4,010,PETROBRAS,PN,N2,R$,32.41,33.23,31.88,32.78,32.63,32.62,0,32669457200000,593468000.0,19456495.54,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-04,02,BRFS3,010,BRF SA,ON,NM,R$,19.9,19.9,18.55,18.96,18.75,18.75,0,18764268300000,249181000.0,4725183.79,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-04,02,PETR4,010,PETROBRAS,PN,N2,R$,29.16,29.4,28.91,29.18,29.2,29.19,0,29217861200000,517392000.0,15097602.8,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-04,02,BRFS3,010,BRF SA,ON,NM,R$,23.39,23.44,21.96,22.4,22.42,22.42,0,22432799300000,123324000.0,2763157.15,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-22,02,VALE3,010,VALE,ON,NM,R$,86.69,87.4,85.8,86.83,87.39,87.35,0,87395134800000,235912000.0,20484994.37,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-20,02,VALE3,010,VALE,ON,NM,R$,88.8,88.97,86.64,87.64,86.71,86.7,0,86717174100000,227488000.0,19939289.5,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-22,02,PETR4,010,PETROBRAS,PN,N2,R$,34.22,34.68,33.21,33.83,33.74,33.73,0,33741431900000,802067000.0,27136005.38,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-22,02,BRFS3,010,BRF SA,ON,NM,R$,18.31,19.45,18.02,18.66,19.35,19.35,0,19362883800000,235193000.0,4390613.3,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-20,02,PETR4,010,PETROBRAS,PN,N2,R$,31.5,32.0,31.11,31.69,31.72,31.72,0,31734573700000,853531000.0,27056756.67,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-20,02,BRFS3,010,BRF SA,ON,NM,R$,23.72,24.23,23.11,23.61,23.36,23.36,0,23381903300000,57937000.0,1367939.56,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-07,02,VALE3,010,VALE,ON,NM,R$,88.15,90.24,88.15,89.57,90.13,90.13,0,90147213800000,249158000.0,22319405.27,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-05,02,VALE3,010,VALE,ON,NM,R$,77.37,78.68,77.13,77.86,77.81,77.8,0,77817095100000,220390000.0,17160076.02,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-07,02,PETR4,010,PETROBRAS,PN,N2,R$,32.55,32.78,32.13,32.36,32.15,32.15,0,32167687400000,488681000.0,15818546.29,0,0000000000009999123100000010000000000000BRPETRACNPR6201
